model,dataset,hint_condition,comparison,n,accuracy_delta_mean,accuracy_ci_low,accuracy_ci_high,accuracy_mcnemar_p,accuracy_effect_size_d,hint_follow_delta_mean,confidence_delta_mean,confidence_test,confidence_p,rationale_word_delta_mean,rationale_test,rationale_p,accuracy_mcnemar_p_fdr,confidence_p_fdr,rationale_p_fdr
gpt-4.1,truthful_qa_mc,misleading_wrong_hint,strong_judgment_question_vs_neutral,40,0.025,-0.05,0.1,1.0,0.09051672392947267,-0.025,-0.175,wilcoxon,0.6510766340778344,1.325,paired_t,0.07404090245253984,1.0,0.763024600552995,0.1480818049050797
gpt-4.1,truthful_qa_mc,misleading_wrong_hint,strong_judgment_statement_vs_neutral,40,0.0,0.0,0.0,1.0,0.0,0.0,-0.85,wilcoxon,0.00829921599528076,-0.325,paired_t,0.6218996607147294,1.0,0.049795295971684556,0.7694632305537028
gpt-4.1,truthful_qa_mc,no_hint,mild_skeptical_question_vs_neutral,40,0.025,0.0,0.075,1.0,0.15811388300841897,0.0,0.0,wilcoxon,0.4385780260809998,1.875,paired_t,0.0066925095554088345,1.0,0.6578670391214998,0.03346254777704417
gpt-4.1,truthful_qa_mc,no_hint,strong_judgment_question_vs_neutral,40,0.05,0.0,0.125,0.47950012218695337,0.22652988649112996,0.0,0.25,wilcoxon,0.4385780260809998,1.4,paired_t,0.019558320976101908,1.0,0.6578670391214998,0.07334370366038216
gpt-4.1,truthful_qa_mc,no_hint,strong_judgment_statement_vs_neutral,40,0.0,0.0,0.0,1.0,0.0,0.0,0.375,wilcoxon,0.763024600552995,0.0,paired_t,1.0,1.0,0.763024600552995,1.0
gpt-4.1-mini,commonsense_qa,misleading_wrong_hint,mild_skeptical_question_vs_neutral,40,-0.025,-0.1,0.05,1.0,-0.09051672392947269,0.0,-0.75,wilcoxon,0.033894853524689246,0.025,paired_t,0.9794515585388659,1.0,0.11298284508229749,1.0
gpt-4.1-mini,commonsense_qa,misleading_wrong_hint,strong_judgment_question_vs_neutral,40,-0.05,-0.15,0.05,0.6170750774519739,-0.15811388300841897,0.0,-0.625,wilcoxon,0.05878172135535886,2.0,paired_t,0.03849391777777248,1.0,0.1763451640660766,0.10498341212119769
gpt-4.1-mini,commonsense_qa,misleading_wrong_hint,strong_judgment_statement_vs_neutral,40,-0.025,-0.075,0.0,1.0,-0.15811388300841897,0.0,0.125,wilcoxon,0.6547208460185769,1.125,wilcoxon,0.18456064756506663,1.0,0.763024600552995,0.30760107927511104
gpt-4.1-mini,commonsense_qa,no_hint,mild_skeptical_question_vs_neutral,40,0.05,-0.05,0.15,0.6170750774519739,0.15811388300841897,0.0,-0.125,wilcoxon,0.7388826803635273,1.825,paired_t,0.04438160143290232,1.0,0.763024600552995,0.1109540035822558
gpt-4.1-mini,commonsense_qa,no_hint,strong_judgment_question_vs_neutral,40,0.05,-0.075,0.175,0.6830913983096086,0.1285512494253306,0.0,0.125,wilcoxon,0.7054569861112734,2.15,wilcoxon,0.013663887459284776,1.0,0.763024600552995,0.05855951768264904
gpt-4.1-mini,commonsense_qa,no_hint,strong_judgment_statement_vs_neutral,40,0.0,-0.075,0.075,0.47950012218695337,0.0,0.0,-0.25,wilcoxon,0.47950012218695337,1.15,wilcoxon,0.19873877596409006,1.0,0.6850001745527906,0.31379806731172116
gpt-4.1-mini,gsm8k,no_hint,mild_skeptical_question_vs_neutral,40,-0.075,-0.175,0.025,0.37109336952269756,-0.21434180268198583,0.0,-3.875,wilcoxon,2.5802843041604163e-08,5.5,paired_t,0.005636143740173013,1.0,7.740852912481249e-07,0.03346254777704417
gpt-4.1-mini,gsm8k,no_hint,strong_judgment_question_vs_neutral,40,0.025,-0.075,0.125,1.0,0.06999641053252079,0.0,-2.5,wilcoxon,2.00786561242648e-05,2.225,paired_t,0.16637885734692132,1.0,0.000301179841863972,0.29360974825927294
gpt-4.1-mini,gsm8k,no_hint,strong_judgment_statement_vs_neutral,40,-0.05,-0.175,0.075,0.6830913983096086,-0.1285512494253306,0.0,-2.0,wilcoxon,0.00016244084518680075,0.825,wilcoxon,0.7875948668987893,1.0,0.0016244084518680073,0.9087633079601415
gpt-4.1-mini,truthful_qa_mc,misleading_wrong_hint,mild_skeptical_question_vs_neutral,40,0.025,-0.05,0.1,1.0,0.09051672392947267,-0.05,-0.375,wilcoxon,0.338724147759658,0.075,wilcoxon,0.9685982842362559,1.0,0.5977484960464553,1.0
gpt-4.1-mini,truthful_qa_mc,misleading_wrong_hint,strong_judgment_question_vs_neutral,40,0.0,-0.1,0.1,0.6170750774519739,0.0,-0.025,0.625,wilcoxon,0.33628879040286896,3.75,wilcoxon,0.07343443509177543,1.0,0.5977484960464553,0.1480818049050797
gpt-4.1-mini,truthful_qa_mc,misleading_wrong_hint,strong_judgment_statement_vs_neutral,40,0.025,0.0,0.075,1.0,0.15811388300841897,-0.05,0.5,wilcoxon,0.7257209852083116,-0.4,paired_t,0.6412193587947523,1.0,0.763024600552995,0.7694632305537028
gpt-4.1-mini,truthful_qa_mc,no_hint,mild_skeptical_question_vs_neutral,40,0.075,0.0,0.175,0.24821307898992026,0.28116552785513027,0.0,-0.75,wilcoxon,0.14918134791496962,1.175,wilcoxon,0.46083595455924053,1.0,0.3442646490345453,0.6284126653080553
gpt-4.1-mini,truthful_qa_mc,no_hint,strong_judgment_question_vs_neutral,40,-0.025,-0.075,0.0,1.0,-0.15811388300841897,0.0,-1.375,wilcoxon,0.0167623361771865,3.475,wilcoxon,0.0024376785918313543,1.0,0.0838116808859325,0.03346254777704417
gpt-4.1-mini,truthful_qa_mc,no_hint,strong_judgment_statement_vs_neutral,40,0.025,0.0,0.075,1.0,0.15811388300841897,0.0,-0.75,wilcoxon,0.13028955658185015,1.2,wilcoxon,0.15686702869566926,1.0,0.3257238914546254,0.29360974825927294
